timestamp,rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll,label
7425372245000,0,1.47659872497002,9.03108889867674,-4.77657022360818,0.72112644,1.640784,-0.49480084,349.07617,-101.41547,-3.0441132,STD
7425377237000,0.004992,1.47803214382346,8.95368421074198,-4.60933791078496,0.8414669,1.7702875,-0.58459806,348.50266,-101.87072,-2.9091575,STD
7425382230000,0.009985,1.4794658498201,8.87626401706045,-4.44207209789908,0.9279043,1.8805487,-0.66981375,347.8957,-102.36491,-2.7882545,STD
7425387252000,0.015007,1.48090788296954,8.79839415672224,-4.27383478319591,0.95447695,1.9636264,-0.7312057,347.26343,-102.87252,-2.6742811,STD
7425392231000,0.019986,1.48233756896138,8.72119104349564,-4.10703797118734,0.9221011,2.0161607,-0.7703011,346.61234,-103.38241,-2.5667202,STD
7425397255000,0.02501,1.48378017639722,8.64329017166387,-3.93873365635884,0.86070913,2.0641136,-0.7996226,345.94345,-103.88435,-2.461896,STD
7425402299000,0.030054,1.48522852669705,8.56507918489646,-3.76975934027704,0.76144356,2.1001546,-0.81397796,345.26926,-104.35734,-2.3545856,STD
7425407750000,0.035505,1.4867937442792,8.48055735918885,-3.58715049869063,0.67256266,2.212554,-0.81306165,344.56738,-104.806206,-2.2361298,STD
7425412243000,0.039998,1.48808387867594,8.41089003889822,-3.4366347171372,0.56016344,2.2421808,-0.8045095,343.88602,-105.21073,-2.1171613,STD
7425417224000,0.044979,1.48951413895419,8.33365591417806,-3.2697709050033,0.50488013,2.2553146,-0.79198676,343.18677,-105.5965,-1.984677,STD
7425422255000,0.05001,1.49095875639242,8.25564650211881,-3.10123208973615,0.36713,2.2305744,-0.77579886,342.49918,-105.9176,-1.8453434,STD
7425427240000,0.054995,1.49239016524346,8.17835035441153,-2.93423427735158,0.20372356,2.1526892,-0.75625116,341.83234,-106.20663,-1.7011275,STD
7425432252000,0.060007,1.4938293269609,8.10063555154114,-2.76633196327507,0.0290161,2.0781636,-0.71837753,341.1825,-106.44458,-1.5464871,STD
7425437318000,0.065073,1.49528399441113,8.02208343834453,-2.59662064581464,-0.15424347,2.0109684,-0.65240407,340.5641,-106.625946,-1.382719,STD
7425442241000,0.069996,1.49669760038379,7.94574864693772,-2.4316998373153,-0.34330627,1.953547,-0.559858,339.9766,-106.74937,-1.2058301,STD
7425447254000,0.075009,1.49813704924442,7.86801833832054,-2.26376402317612,-0.50610185,1.8289305,-0.45234573,339.4402,-106.82291,-1.0182109,STD
7425452290000,0.080045,1.49958310239866,7.78993139752738,-2.09505770759565,-0.65240407,1.5931365,-0.31795537,338.9671,-106.84331,-0.81349427,STD
7425457249000,0.085004,1.50100704552651,7.71303839923643,-1.92893089684037,-0.7663304,1.2351695,-0.17959438,338.5776,-106.82478,-0.60139203,STD
7425462245000,0.09,1.50244161295275,7.63557168831454,-1.76156458376649,-0.8921687,0.77396625,-0.048258353,338.2975,-106.7612,-0.38616303,STD
7425467228000,0.094983,1.50387244751739,7.55830655210082,-1.59463377150726,-1.02717,0.28099802,0.04337143,338.13712,-106.6646,-0.18040946,STD
7425472246000,0.100001,1.50531333209403,7.48049871474974,-1.42653045705475,-1.16492,-0.17256944,0.05497787,338.09998,-106.535,-1.3660377e-05,STD
7425477238000,0.104993,1.50674675094747,7.40309402681498,-1.25929814423153,-1.2718215,-0.47952923,-0.02107485,338.16016,-106.380486,0.14841418,STD
7425482237000,0.109992,1.50818217980331,7.32558079865276,-1.09183133096966,-1.3075571,-0.5748242,-0.15332718,338.28375,-106.21236,0.26071435,STD
7425487301000,0.115056,1.50963627296714,7.24705969694971,-0.922187013634565,-1.2476922,-0.46486846,-0.2843578,338.42905,-106.046555,0.34094116,STD
7425492241000,0.119996,1.51105476037419,7.17046130784761,-0.756696704069921,-1.0891727,-0.22632557,-0.39370266,338.5558,-105.90376,0.39113632,STD
7425497249000,0.125004,1.51249277351883,7.09280852796434,-0.588928390244063,-0.9016371,-0.1001819,-0.44501534,338.67712,-105.790855,0.41970012,STD
7425502288000,0.130043,1.51393968810266,7.01467506993084,-0.420121574475594,-0.7415904,0.10415252,-0.46731192,338.70517,-105.71828,0.45023364,STD
7425507295000,0.13505,1.5153774141041,6.93703779579436,-0.252386760712401,-0.6792821,0.20677789,-0.50854534,338.72156,-105.67287,0.46271873,STD
7425512242000,0.139997,1.51679791151355,6.86033086646478,-0.086661950709103,-0.65240407,0.20922135,-0.5665775,338.7072,-105.66352,0.47206196,STD
