timestamp,rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll,label
263625255000,0,0.675244152253356,-9.74797261741942,-0.389315440555501,-0.03726278,0.029626964,0.011301007,73.61189,40.30721,26.710962,STD
263630293000,0.005038,0.710889438034568,-9.74292156098766,-0.495788210813827,-0.028405234,0.026267206,0.01038471,72.6635,41.5168,26.047358,STD
263635424000,0.010169,0.730302202795062,-9.77204030271605,-0.476375435918025,-0.043676864,0.03359759,0.012217305,71.765816,42.69793,25.385557,STD
263640340000,0.015085,0.746762644194827,-9.7945622052105,-0.465849640791486,-0.050701816,0.019547688,0.02076942,70.888,43.826714,24.789927,STD
263646032000,0.020777,0.74418990747593,-9.76626231621673,-0.535313577870965,-0.0421497,0.03176499,0.016493361,70.07036,44.924988,24.18777,STD
263650318000,0.025063,0.742252671077969,-9.7449528776666,-0.587618995004248,-0.044898596,0.025961773,0.015577064,69.28615,45.997005,23.598642,STD
263655249000,0.029994,0.740023900037757,-9.72043658240514,-0.647795852653389,-0.038789943,0.025350908,0.018936822,68.568184,47.036865,22.997513,STD
263660222000,0.034967,0.737776145346423,-9.69571146856711,-0.708485269219841,-0.043982297,0.016187929,0.017104227,67.898026,48.05202,22.39908,STD
263665257000,0.040002,0.726650051367136,-9.68455281771525,-0.73978863473144,-0.03634648,0.019242255,0.01863139,67.2688,49.03796,21.80242,STD
263670289000,0.045034,0.7138572566764,-9.67602410981329,-0.765374268639943,-0.034513887,0.014966198,0.016187929,66.67425,50.000393,21.21587,STD
263675255000,0.05,0.707293978205763,-9.67535450163383,-0.788228896148134,-0.04184427,0.021380283,0.0143553335,66.11285,50.938175,20.652905,STD
263680319000,0.055064,0.704892903089415,-9.68015675215368,-0.809838572195267,-0.04153884,0.016798794,0.01038471,65.585304,51.851486,20.096893,STD
263685266000,0.060011,0.702547303049807,-9.68484805020299,-0.830948972551738,-0.047647487,0.013439035,0.01160644,65.10065,52.75213,19.536938,STD
